recordType,metricKind,timestamp,gitSHA,gitState,run,requestedScene,harnessScene,resolutionLabel,widthPx,heightPx,kernel,variant,fractal,iterations,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,frames,warmup,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,stepsAvg,cpuEncodeMsAvg,notes
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbox,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbulb,12,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Menger,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MandelbulbJulia,12,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,QuaternionJulia,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Octahedron,12,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MengerSphere,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,TheliPseudoKleinian,12,704,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Kleinian,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,1,,,,,,coneCoarsePrepass8x8,default,Mandelbox,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
