run,path,tileSize,resolution,width,height,frames,warmup,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,cpuEncodeMsAvg,stepsAvg,note,log
1,compute,4,1800p,3200,1800,180,120,16,NA,NA,NA,,191.170,198.800,199.650,5.231,5.009,0.230,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1800p_run1.log
2,compute,4,1800p,3200,1800,180,120,16,NA,NA,NA,,134.550,139.480,142.100,7.432,7.037,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1800p_run2.log
3,compute,4,1800p,3200,1800,180,120,16,NA,NA,NA,,177.910,196.000,198.880,5.621,5.028,0.210,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1800p_run3.log
1,compute,4,2160p,3840,2160,180,120,16,NA,NA,NA,,203.240,208.450,211.020,4.920,4.739,0.110,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2160p_run1.log
2,compute,4,2160p,3840,2160,180,120,16,NA,NA,NA,,189.600,190.540,190.910,5.274,5.238,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2160p_run2.log
3,compute,4,2160p,3840,2160,180,120,16,NA,NA,NA,,245.180,262.580,278.430,4.079,3.592,0.330,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2160p_run3.log
1,compute,4,2880p,5120,2880,180,120,16,NA,NA,NA,,351.390,358.040,359.420,2.846,2.782,0.120,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2880p_run1.log
2,compute,4,2880p,5120,2880,180,120,16,NA,NA,NA,,370.060,473.630,480.740,2.702,2.080,0.220,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2880p_run2.log
3,compute,4,2880p,5120,2880,180,120,16,NA,NA,NA,,464.990,472.610,474.090,2.151,2.109,0.280,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_2880p_run3.log
1,compute,8,1440p,2560,1440,180,120,64,NA,NA,NA,,44.860,46.140,46.820,22.292,21.358,0.160,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1440p_run1.log
2,compute,8,1440p,2560,1440,180,120,64,NA,NA,NA,,82.750,242.770,326.340,12.085,3.064,0.140,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1440p_run2.log
3,compute,8,1440p,2560,1440,180,120,64,NA,NA,NA,,51.750,66.690,75.210,19.324,13.296,0.240,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1440p_run3.log
1,compute,8,1620p,2880,1620,180,120,64,NA,NA,NA,,75.660,84.820,93.330,13.217,10.715,0.190,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1620p_run1.log
2,compute,8,1620p,2880,1620,180,120,64,NA,NA,NA,,55.500,57.500,58.550,18.018,17.079,0.170,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1620p_run2.log
3,compute,8,1620p,2880,1620,180,120,64,NA,NA,NA,,75.960,79.190,80.140,13.165,12.478,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1620p_run3.log
1,compute,8,1800p,3200,1800,180,120,64,NA,NA,NA,,80.230,99.680,102.780,12.464,9.730,0.130,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1800p_run1.log
2,compute,8,1800p,3200,1800,180,120,64,NA,NA,NA,,64.720,65.530,65.990,15.451,15.154,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1800p_run2.log
3,compute,8,1800p,3200,1800,180,120,64,NA,NA,NA,,83.890,92.050,93.850,11.920,10.655,0.370,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_1800p_run3.log
1,compute,8,2160p,3840,2160,180,120,64,NA,NA,NA,,97.210,98.020,98.420,10.287,10.161,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2160p_run1.log
2,compute,8,2160p,3840,2160,180,120,64,NA,NA,NA,,91.390,95.030,96.210,10.942,10.394,0.230,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2160p_run2.log
3,compute,8,2160p,3840,2160,180,120,64,NA,NA,NA,,128.700,132.620,190.140,7.770,5.259,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2160p_run3.log
1,compute,8,2880p,5120,2880,180,120,64,NA,NA,NA,,168.040,172.920,173.760,5.951,5.755,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2880p_run1.log
2,compute,8,2880p,5120,2880,180,120,64,NA,NA,NA,,201.940,235.110,243.150,4.952,4.113,0.220,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2880p_run2.log
3,compute,8,2880p,5120,2880,180,120,64,NA,NA,NA,,223.310,225.040,225.200,4.478,4.440,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute8_2880p_run3.log
1,fragment,NA,1440p,2560,1440,180,120,NA,NA,NA,NA,,40.730,43.510,47.570,24.552,21.022,0.200,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1440p_run1.log
2,fragment,NA,1440p,2560,1440,180,120,NA,NA,NA,NA,,38.800,39.820,40.160,25.773,24.900,0.150,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1440p_run2.log
3,fragment,NA,1440p,2560,1440,180,120,NA,NA,NA,NA,,39.080,41.800,42.970,25.589,23.272,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1440p_run3.log
1,fragment,NA,1620p,2880,1620,180,120,NA,NA,NA,NA,,48.240,52.320,54.360,20.730,18.396,0.140,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1620p_run1.log
2,fragment,NA,1620p,2880,1620,180,120,NA,NA,NA,NA,,49.410,52.530,54.940,20.239,18.202,0.130,29.000,fragment has no threadgroup size,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/fragment_1620p_run2.log
