timestamp,gitSHA,gitState,tag,kernel,fractal,iterations,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Menger,6,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,MandelbulbJulia,6,640,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,QuaternionJulia,6,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Octahedron,6,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,MengerSphere,6,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,TheliPseudoKleinian,6,704,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Kleinian,6,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Mandelbox,12,768,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Mandelbulb,12,640,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Menger,12,768,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,MandelbulbJulia,12,640,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,QuaternionJulia,12,768,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Octahedron,12,832,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,MengerSphere,12,768,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,TheliPseudoKleinian,12,704,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,adaptiveHierarchical8x8,Kleinian,12,768,32,32
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Mandelbox,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Mandelbulb,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Menger,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,MandelbulbJulia,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,QuaternionJulia,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Octahedron,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,MengerSphere,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,TheliPseudoKleinian,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Kleinian,6,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Mandelbox,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Mandelbulb,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Menger,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,MandelbulbJulia,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,QuaternionJulia,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Octahedron,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,MengerSphere,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,TheliPseudoKleinian,12,1024,32,0
2026-07-08T17:24:27Z,unknown,clean,postA-reverted,coneCoarsePrepass8x8,Kleinian,12,1024,32,0
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Mandelbox,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Mandelbox,6,640,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Mandelbulb,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Mandelbulb,6,640,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Menger,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Menger,6,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,MandelbulbJulia,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,MandelbulbJulia,6,640,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,QuaternionJulia,6,448,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,QuaternionJulia,6,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Octahedron,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Octahedron,6,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,MengerSphere,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,MengerSphere,6,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,TheliPseudoKleinian,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,TheliPseudoKleinian,6,704,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Kleinian,6,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Kleinian,6,832,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Mandelbox,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Mandelbox,12,768,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Mandelbulb,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Mandelbulb,12,640,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,Menger,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,Menger,12,768,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcUndefined,MandelbulbJulia,12,384,32,32
2026-07-08T18:11:09Z,unknown,clean,computeFC-fix-2026-07-08,adaptiveHierarchical8x8-fcBakedOff,MandelbulbJulia,12,640,32,32
