run,path,tileSize,resolution,width,height,frames,warmup,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,cpuEncodeMsAvg,stepsAvg,note,log
2,compute,8,720p,1280,720,90,20,64,NA,NA,NA,,13.090,14.780,15.570,76.394,64.226,0.300,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute8_720p_run2.log
3,compute,8,720p,1280,720,90,20,64,NA,NA,NA,,12.550,13.630,14.790,79.681,67.613,0.050,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute8_720p_run3.log
1,fragment,NA,1080p,1920,1080,90,20,NA,NA,NA,NA,,28.480,30.900,32.950,35.112,30.349,0.140,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1080p_run1.log
2,fragment,NA,1080p,1920,1080,90,20,NA,NA,NA,NA,,27.970,31.460,34.930,35.753,28.629,0.290,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1080p_run2.log
3,fragment,NA,1080p,1920,1080,90,20,NA,NA,NA,NA,,26.150,28.310,28.810,38.241,34.710,0.080,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1080p_run3.log
1,fragment,NA,1440p,2560,1440,90,20,NA,NA,NA,NA,,45.600,48.450,51.010,21.930,19.604,0.350,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1440p_run1.log
2,fragment,NA,1440p,2560,1440,90,20,NA,NA,NA,NA,,49.980,54.020,56.600,20.008,17.668,0.500,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1440p_run2.log
3,fragment,NA,1440p,2560,1440,90,20,NA,NA,NA,NA,,42.980,44.750,46.130,23.267,21.678,0.070,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_1440p_run3.log
1,fragment,NA,720p,1280,720,90,20,NA,NA,NA,NA,,20.860,28.500,34.540,47.939,28.952,0.140,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_720p_run1.log
2,fragment,NA,720p,1280,720,90,20,NA,NA,NA,NA,,13.500,15.440,16.180,74.074,61.805,0.220,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_720p_run2.log
3,fragment,NA,720p,1280,720,90,20,NA,NA,NA,NA,,12.500,13.960,14.340,80.000,69.735,0.050,28.900,fragment has no threadgroup size,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/fragment_720p_run3.log
